visa_cd,name,link
USA_STD_ACDM,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_STD_ACDM,Оплата SEVIS сбора ,http://www.ice.gov/sevis/
USA_STD_NON_ACDM,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_STD_NON_ACDM,Оплата SEVIS сбора ,http://www.ice.gov/sevis/
USA_GUEST_TRSM,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_GUEST_BSNS,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_GUEST_MED,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_EXCHANGE_EXCH,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_EXCHANGE_EXCH,Оплата SEVIS сбора ,http://www.ice.gov/sevis/
USA_TRANSIT_TRNST,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_CREW_CRW,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_MEDIA_MDA,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/
USA_MEDIA_MDA,Оплата консульского сбора посольства,https://payusvisafee.rsb.ru/