name,purpose_cd,description
Получение образования,ACDM,"Виза подходит всем желающим пройти академическое обучение в определенных образовательных учреждениях, например в аккредитованных колледжах и университетах, частных средних школах, или же заняться изучением  языка в рамках соответствующих программ. Данная виза  выдается также в тех случаях, когда обучение занимает более 18 часов в неделю."
Изучение языка,LANG,Данная виза предназначена для изучения языка до 18 часов в неделю
Туризм,TRSM,Данная виза  предназначена  для для туристических поездок
Лечение,MED,Данная виза  предназначена  для поездок связанных с лечением родами итд
Деловая поездка,BSNS,"Данная виза  предназначена  для деловых поездок(конференции,семинары, деловые встречи итд)"
Транзит,TRNST,Данная виза  предназначена  для осуществление транзита
Работа,WORK,Данная виза предназначена для работы
Иммиграция,IMGRT,Данная виза рассматривается как иммиграционная
Повышение квалификации,UPGRD,Данная виза предназначена для повышения профессиональной квалификации а также обучения
Посещение друзей и родственников,GUEST,Данная виза предназначена для посещения друзей и родственников